"Area","Element","Item","Year","Value","Land.area..sq..km.","per_sqkm"
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2018,510637,652860,0.782153907422725
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2006,651700,652860,0.998223202524278
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2002,30000,652860,0.0459516588548847
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",1990,480000,652860,0.735226541678155
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2004,829000,652860,1.26979750635665
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2016,589150,652860,0.902413993811843
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2008,26000,652860,0.0398247710075667
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2008,739000,652860,1.13194252979199
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2014,669717,652860,1.02582023711056
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",1996,16300,652860,0.0249670679778207
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",1992,480000,652860,0.735226541678155
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2006,30500,652860,0.0467175198357994
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2012,772000,652860,1.18248935453237
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",1996,794000,652860,1.21618723769261
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2016,30521,652860,0.0467496859969978
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",1998,950000,652860,1.45513586373801
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2010,35000,652860,0.0536102686640321
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2010,727800,652860,1.1147872438195
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",1990,15500,652860,0.0237416904083571
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",1994,14500,652860,0.0222099684465276
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2000,700000,652860,1.07220537328064
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2014,31012,652860,0.0475017614802561
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2000,16500,652860,0.0252734123701866
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",2002,833000,652860,1.27592439420396
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2004,38500,652860,0.0589712955304353
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",1998,18800,652860,0.0287963728823944
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2012,31000,652860,0.0474833808167142
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",2018,36341,652860,0.0556643078148455
"Afghanistan","Producing Animals/Slaughtered","Meat, chicken",1992,15000,652860,0.0229758294274423
"Afghanistan","Producing Animals/Slaughtered","Meat, cattle",1994,630000,652860,0.964984835952578
"Albania","Producing Animals/Slaughtered","Meat, pig",2006,169000,27400,6.16788321167883
"Albania","Producing Animals/Slaughtered","Meat, cattle",1998,304000,27400,11.0948905109489
"Albania","Producing Animals/Slaughtered","Meat, cattle",2008,360000,27400,13.1386861313869
"Albania","Producing Animals/Slaughtered","Meat, pig",2010,187000,27400,6.82481751824818
"Albania","Producing Animals/Slaughtered","Meat, pig",2002,129000,27400,4.70802919708029
"Albania","Producing Animals/Slaughtered","Meat, cattle",2006,420000,27400,15.3284671532847
"Albania","Producing Animals/Slaughtered","Meat, cattle",1996,315000,27400,11.4963503649635
"Albania","Producing Animals/Slaughtered","Meat, cattle",2016,327272,27400,11.9442335766423
"Albania","Producing Animals/Slaughtered","Meat, cattle",2018,257785,27400,9.40821167883212
"Albania","Producing Animals/Slaughtered","Meat, chicken",2002,8000,27400,0.291970802919708
"Albania","Producing Animals/Slaughtered","Meat, cattle",2014,306522,27400,11.1869343065693
"Albania","Area harvested","Soybeans",2010,300,27400,0.0109489051094891
"Albania","Producing Animals/Slaughtered","Meat, pig",1996,98000,27400,3.57664233576642
"Albania","Producing Animals/Slaughtered","Meat, cattle",2000,340000,27400,12.4087591240876
"Albania","Producing Animals/Slaughtered","Meat, cattle",1994,260000,27400,9.48905109489051
"Albania","Producing Animals/Slaughtered","Meat, pig",2008,187000,27400,6.82481751824818
"Albania","Area harvested","Soybeans",2016,264,27400,0.00963503649635036
"Albania","Producing Animals/Slaughtered","Meat, chicken",2000,5700,27400,0.208029197080292
"Albania","Producing Animals/Slaughtered","Meat, pig",2018,231680,27400,8.45547445255474
"Albania","Producing Animals/Slaughtered","Meat, cattle",2012,303078,27400,11.0612408759124
"Albania","Producing Animals/Slaughtered","Meat, cattle",2002,357800,27400,13.0583941605839
"Albania","Area harvested","Soybeans",1996,177,27400,0.00645985401459854
"Albania","Area harvested","Soybeans",1998,104,27400,0.0037956204379562
"Albania","Producing Animals/Slaughtered","Meat, pig",2012,200000,27400,7.2992700729927
"Albania","Producing Animals/Slaughtered","Meat, pig",2004,151000,27400,5.51094890510949
"Albania","Area harvested","Soybeans",2014,207,27400,0.00755474452554745
"Albania","Producing Animals/Slaughtered","Meat, pig",1992,163000,27400,5.94890510948905
"Albania","Producing Animals/Slaughtered","Meat, pig",2000,116940,27400,4.26788321167883
"Albania","Area harvested","Soybeans",1990,10000,27400,0.364963503649635
"Albania","Area harvested","Soybeans",1994,164,27400,0.00598540145985401
"Albania","Producing Animals/Slaughtered","Meat, chicken",2008,8379,27400,0.305802919708029
"Albania","Producing Animals/Slaughtered","Meat, pig",2016,200597,27400,7.32105839416058
"Albania","Area harvested","Soybeans",2000,400,27400,0.0145985401459854
"Albania","Producing Animals/Slaughtered","Meat, chicken",1992,4200,27400,0.153284671532847
"Albania","Producing Animals/Slaughtered","Meat, chicken",1994,6100,27400,0.222627737226277
"Albania","Producing Animals/Slaughtered","Meat, chicken",2006,9831,27400,0.358795620437956
"Albania","Producing Animals/Slaughtered","Meat, cattle",1992,210000,27400,7.66423357664234
"Albania","Producing Animals/Slaughtered","Meat, pig",1994,208000,27400,7.59124087591241
"Albania","Producing Animals/Slaughtered","Meat, cattle",1990,182000,27400,6.64233576642336
"Albania","Producing Animals/Slaughtered","Meat, cattle",2004,355000,27400,12.956204379562
"Albania","Area harvested","Soybeans",2012,300,27400,0.0109489051094891
"Albania","Producing Animals/Slaughtered","Meat, chicken",1998,6600,27400,0.240875912408759
"Albania","Producing Animals/Slaughtered","Meat, cattle",2010,370000,27400,13.5036496350365
"Albania","Area harvested","Soybeans",2018,253,27400,0.00923357664233577
"Albania","Producing Animals/Slaughtered","Meat, pig",1990,204600,27400,7.46715328467153
"Albania","Area harvested","Soybeans",2008,300,27400,0.0109489051094891
"Albania","Producing Animals/Slaughtered","Meat, chicken",1990,10800,27400,0.394160583941606
"Albania","Area harvested","Soybeans",2006,200,27400,0.0072992700729927
"Albania","Area harvested","Soybeans",1992,3233,27400,0.117992700729927
"Albania","Producing Animals/Slaughtered","Meat, chicken",2004,12000,27400,0.437956204379562
"Albania","Producing Animals/Slaughtered","Meat, pig",1998,100000,27400,3.64963503649635
"Albania","Producing Animals/Slaughtered","Meat, pig",2014,205368,27400,7.49518248175182
"Albania","Area harvested","Soybeans",2002,200,27400,0.0072992700729927
"Albania","Producing Animals/Slaughtered","Meat, chicken",2010,6889,27400,0.251423357664234
"Albania","Producing Animals/Slaughtered","Meat, chicken",2014,8750,27400,0.319343065693431
"Albania","Producing Animals/Slaughtered","Meat, chicken",1996,6113,27400,0.223102189781022
"Albania","Producing Animals/Slaughtered","Meat, chicken",2018,14093,27400,0.514343065693431
"Albania","Area harvested","Soybeans",2004,300,27400,0.0109489051094891
"Albania","Producing Animals/Slaughtered","Meat, chicken",2012,8000,27400,0.291970802919708
"Albania","Producing Animals/Slaughtered","Meat, chicken",2016,11634,27400,0.424598540145985
"Algeria","Producing Animals/Slaughtered","Meat, chicken",2000,240000,2381740,0.100766666386759
"Algeria","Producing Animals/Slaughtered","Meat, cattle",1998,562000,2381740,0.235961943788995
