"Area","Year","forest_area","num_cattle","Land.area..sq..km.","cattle_per_sqkm","Percent_Change"
"Afghanistan",2010,1208.44,727800,652860,1.1147872438195,0
"Afghanistan",2000,1208.44,700000,652860,1.07220537328064,0
"Afghanistan",2008,1208.44,739000,652860,1.13194252979199,0
"Afghanistan",2016,1208.44,589150,652860,0.902413993811843,0
"Afghanistan",2006,1208.44,651700,652860,0.998223202524278,0
"Afghanistan",2002,1208.44,833000,652860,1.27592439420396,0
"Afghanistan",1994,1208.44,630000,652860,0.964984835952578,0
"Afghanistan",1998,1208.44,950000,652860,1.45513586373801,0
"Afghanistan",1996,1208.44,794000,652860,1.21618723769261,0
"Afghanistan",1992,1208.44,480000,652860,0.735226541678155,0
"Afghanistan",1990,1208.44,480000,652860,0.735226541678155,0
"Afghanistan",2014,1208.44,669717,652860,1.02582023711056,0
"Afghanistan",2018,1208.44,510637,652860,0.782153907422725,0
"Afghanistan",2004,1208.44,829000,652860,1.26979750635665,0
"Afghanistan",2012,1208.44,772000,652860,1.18248935453237,0
"Albania",1996,777.1,315000,27400,11.4963503649635,0.0126774847870211
"Albania",2004,774.408,355000,27400,12.956204379562,0.0126774847870211
"Albania",2000,769.3,340000,27400,12.4087591240876,0.0126774847870211
"Albania",1998,773.2,304000,27400,11.0948905109489,0.0126774847870211
"Albania",2006,776.962,420000,27400,15.3284671532847,0.0126774847870211
"Albania",2002,771.854,357800,27400,13.0583941605839,0.0126774847870211
"Albania",1992,784.9,210000,27400,7.66423357664234,0.0126774847870211
"Albania",2018,789.015,257785,27400,9.40821167883212,0.0126774847870211
"Albania",2014,787.764,306522,27400,11.1869343065693,0.0126774847870211
"Albania",2008,779.516,360000,27400,13.1386861313869,0.0126774847870211
"Albania",1990,788.8,182000,27400,6.64233576642336,0.0126774847870211
"Albania",1994,781,260000,27400,9.48905109489051,0.0126774847870211
"Albania",2012,784.917,303078,27400,11.0612408759124,0.0126774847870211
"Albania",2010,782.07,370000,27400,13.5036496350365,0.0126774847870211
"Albania",2016,789.13,327272,27400,11.9442335766423,0.0126774847870211
"Algeria",2010,1918,680000,2381740,0.285505554762485,16.9166166766647
"Algeria",1996,1614.2,588300,2381740,0.247004290980544,16.9166166766647
"Algeria",2012,1933.2,700000,2381740,0.293902776961381,16.9166166766647
"Algeria",2006,1782.4,627000,2381740,0.263252915935409,16.9166166766647
"Algeria",1994,1631.8,615000,2381740,0.258214582616071,16.9166166766647
"Algeria",1992,1649.4,600000,2381740,0.251916665966898,16.9166166766647
"Algeria",1990,1667,584000,2381740,0.245198888207781,16.9166166766647
"Algeria",2016,1954.6,790000,2381741,0.331690137592627,16.9166166766647
"Algeria",2014,1948.4,790330,2381740,0.331828831022698,16.9166166766647
"Algeria",2000,1579,670000,2381740,0.281306943663036,16.9166166766647
"Algeria",2008,1850.2,640000,2381740,0.268711110364691,16.9166166766647
"Algeria",2004,1714.6,645000,2381740,0.270810415914416,16.9166166766647
"Algeria",2018,1951.8,677777,2381741,0.284572084034326,16.9166166766647
"Algeria",2002,1646.8,600000,2381740,0.251916665966898,16.9166166766647
"Algeria",1998,1596.6,562000,2381740,0.235961943788995,16.9166166766647
"Angola",1990,79262.78,400000,1246700,0.320847036175503,-15.9663842222037
"Angola",1998,78019.444,470000,1246700,0.376995267506216,-15.9663842222037
"Angola",2000,77708.61,481000,1246700,0.385818561001043,-15.9663842222037
"Angola",2010,72158,580000,1246700,0.46522820245448,-15.9663842222037
"Angola",2008,73268.122,570000,1246700,0.457207026550092,-15.9663842222037
"Angola",2012,71047.876,600000,1246700,0.481270554263255,-15.9663842222037
"Angola",2014,69937.752,613904,1246700,0.492423197240715,-15.9663842222037
"Angola",1996,78330.278,400000,1246700,0.320847036175503,-15.9663842222037
"Angola",1994,78641.112,360000,1246700,0.288762332557953,-15.9663842222037
"Angola",1992,78951.946,384000,1246700,0.308013154728483,-15.9663842222037
"Angola",2006,74378.244,498000,1246700,0.399454560038502,-15.9663842222037
"Angola",2002,76598.488,498000,1246700,0.399454560038502,-15.9663842222037
"Angola",2004,75488.366,425000,1246700,0.340899975936472,-15.9663842222037
"Angola",2016,68827.628,599813,1246700,0.481120558273843,-15.9663842222037
"Angola",2018,67717.504,607567,1246700,0.487340178070105,-15.9663842222037
"Antigua and Barbuda",2018,8.252,500,440,1.13636363636364,-19.6834817012859
"Antigua and Barbuda",1996,9.714,2700,440,6.13636363636364,-19.6834817012859
"Antigua and Barbuda",1994,9.846,2900,440,6.59090909090909,-19.6834817012859
"Antigua and Barbuda",2010,8.78,793,440,1.80227272727273,-19.6834817012859
"Antigua and Barbuda",2004,9.182,2800,440,6.36363636363636,-19.6834817012859
"Antigua and Barbuda",2006,9.048,2800,440,6.36363636363636,-19.6834817012859
"Antigua and Barbuda",2016,8.384,800,440,1.81818181818182,-19.6834817012859
"Antigua and Barbuda",2000,9.45,2500,440,5.68181818181818,-19.6834817012859
"Antigua and Barbuda",2008,8.914,3000,440,6.81818181818182,-19.6834817012859
"Antigua and Barbuda",2002,9.316,2700,440,6.13636363636364,-19.6834817012859
"Antigua and Barbuda",2014,8.516,795,440,1.80681818181818,-19.6834817012859
"Antigua and Barbuda",1992,9.978,2900,440,6.59090909090909,-19.6834817012859
"Antigua and Barbuda",1990,10.11,2800,440,6.36363636363636,-19.6834817012859
"Antigua and Barbuda",2012,8.648,836,440,1.9,-19.6834817012859
"Antigua and Barbuda",1998,9.582,2500,440,5.68181818181818,-19.6834817012859
"Argentina",1990,35204,13423578,2736690,4.90504149172906,-18.8359277354846
"Argentina",1992,34838.8,12823907,2736690,4.68591875586932,-18.8359277354846
"Argentina",2002,32745.2,11499447,2736690,4.20195455093562,-18.8359277354846
"Argentina",2004,32112.4,14295801,2736690,5.22375607028929,-18.8359277354846
"Argentina",2000,33378,12400000,2736690,4.53102105097764,-18.8359277354846
"Argentina",2008,30846.8,14660284,2736690,5.35693995300893,-18.8359277354846
"Argentina",2010,30214,11882706,2736690,4.34199927649825,-18.8359277354846
"Argentina",2012,29767.2,11428791,2736690,4.17613650066321,-18.8359277354846
"Argentina",1998,33743.2,11280900,2736690,4.12209640112691,-18.8359277354846
"Argentina",1996,34108.4,12916716,2736690,4.71983162141127,-18.8359277354846
"Argentina",2018,28782.6,13452831,2736690,4.91573068195521,-18.8359277354846
"Argentina",2006,31479.6,13418824,2736690,4.9033043567229,-18.8359277354846
"Argentina",1994,34473.6,13200357,2736690,4.82347543930807,-18.8359277354846
"Argentina",2014,29320.4,12100979,2736690,4.42175730535793,-18.8359277354846
"Argentina",2016,28992.2,11720350,2736690,4.28267359474402,-18.8359277354846
"Australia",2002,131360.5,9050100,7682300,1.17804563737422,0.0917971171671769
"Australia",2008,129999.7,8652000,7682300,1.12622521900993,0.0917971171671769
"Australia",2010,129546.1,8273000,7682300,1.07689103523684,0.0917971171671769
"Australia",1998,132227.72,9320400,7682300,1.21323041276701,0.0917971171671769
"Australia",2004,130906.9,8803400,7682300,1.1459328586491,0.0917971171671769
"Australia",2000,131814.1,8649000,7682300,1.12583471095896,0.0917971171671769
"Australia",2006,130453.3,8854400,7682300,1.15257149551567,0.0917971171671769
"Australia",1996,132641.34,7934300,7682300,1.03280267628184,0.0917971171671769
"Australia",2012,130965.46,7977700,7682300,1.03845202608594,0.0917971171671769
"Australia",1992,133468.58,8716300,7682300,1.13459510823581,0.0917971171671769
"Australia",2018,133640.86,7913300,7692020,1.0287674759036,0.0917971171671769
"Australia",2016,133276.62,8796400,7692020,1.14357476969639,0.0917971171671769
"Australia",1994,133054.96,8281700,7682300,1.07802350858467,0.0917971171671769
"Australia",2014,132384.82,9896168,7682300,1.2881777592648,0.0917971171671769
"Australia",1990,133882.2,7938700,7682300,1.03337542142327,0.0917971171671769
"Austria",2008,3858.188,690974,82578,8.36753130373707,3.27041293333369
"Austria",2006,3853.176,682763,82580,8.26789779607653,3.27041293333369
"Austria",2012,3870.396,679772,82554,8.23427090147055,3.27041293333369
"Austria",1994,3800.658,738979,82580,8.94864373940421,3.27041293333369
"Austria",2014,3877.592,675905,82523,8.19050446542176,3.27041293333369
"Austria",1992,3788.164,858477,82580,10.3957011382901,3.27041293333369
"Austria",2010,3863.2,702333,82571,8.50580712356638,3.27041293333369
"Austria",2002,3843.152,707274,82580,8.56471300557036,3.27041293333369
"Austria",2004,3848.164,674070,82580,8.16263017679826,3.27041293333369
"Austria",2016,3884.782,686525,82520,8.31949830344159,3.27041293333369
"Austria",2018,3891.966,694230,82520,8.41286960736791,3.27041293333369
"Austria",1996,3813.152,768932,82580,9.31135868248971,3.27041293333369
"Austria",1990,3775.67,825459,82580,9.99587067086462,3.27041293333369
"Austria",2000,3838.14,671462,82580,8.13104868006781,3.27041293333369
"Austria",1998,3825.646,685101,82580,8.29620973601356,3.27041293333369
"Bahamas",1992,509.86,140,10010,0.013986013986014,0
"Bahamas",1998,509.86,105,10010,0.0104895104895105,0
"Bahamas",2008,509.86,113,10010,0.0112887112887113,0
"Bahamas",1994,509.86,104,10010,0.0103896103896104,0
"Bahamas",2000,509.86,102,10010,0.0101898101898102,0
"Bahamas",2014,509.86,112,10010,0.0111888111888112,0
