"Area","Year","Item","Unit","Value","per_sqkm","land_cover_percent","Continent"
"Afghanistan",1998,"Roundwood","m3",2881995,4.41441503538278,1.85099408755323,"Asia"
"Afghanistan",2014,"Roundwood","m3",3518409,5.38922433599853,1.85099408755323,"Asia"
"Afghanistan",1991,"Wood fuel","m3",711747,1.09019851116625,1.85099408755323,"Asia"
"Afghanistan",1996,"Wood fuel","m3",1019335,1.56133780596146,1.85099408755323,"Asia"
"Afghanistan",1997,"Wood fuel","m3",1093711,1.67526115859449,1.85099408755323,"Asia"
"Afghanistan",1995,"Wood fuel","m3",947462,1.45124835339889,1.85099408755323,"Asia"
"Afghanistan",1990,"Roundwood","m3",2155216,3.3011916796863,1.85099408755323,"Asia"
"Afghanistan",2016,"Roundwood","m3",3583797,5.48938057163864,1.85099408755323,"Asia"
"Afghanistan",1994,"Roundwood","m3",2508164,3.8418098826701,1.85099408755323,"Asia"
"Afghanistan",1998,"Wood fuel","m3",1144995,1.75381398768496,1.85099408755323,"Asia"
"Afghanistan",2013,"Wood fuel","m3",1725812,2.64346414238887,1.85099408755323,"Asia"
"Afghanistan",1992,"Wood fuel","m3",758676,1.16208069111295,1.85099408755323,"Asia"
"Afghanistan",2016,"Wood fuel","m3",1823797,2.79354991881874,1.85099408755323,"Asia"
"Afghanistan",1993,"Roundwood","m3",2399089,3.67473730968355,1.85099408755323,"Asia"
"Afghanistan",1994,"Wood fuel","m3",880164,1.34816652881169,1.85099408755323,"Asia"
"Afghanistan",1995,"Roundwood","m3",2614462,4.00462886376865,1.85099408755323,"Asia"
"Afghanistan",1993,"Wood fuel","m3",816089,1.25002144410747,1.85099408755323,"Asia"
"Afghanistan",1996,"Roundwood","m3",2716335,4.1606699751861,1.85099408755323,"Asia"
"Afghanistan",1997,"Roundwood","m3",2811711,4.30675948901755,1.85099408755323,"Asia"
"Afghanistan",2002,"Roundwood","m3",3110626,4.76461415923781,1.85099408755323,"Asia"
"Afghanistan",1991,"Roundwood","m3",2206747,3.38012284410134,1.85099408755323,"Asia"
"Afghanistan",2010,"Wood fuel","m3",1641290,2.51399993873112,1.85099408755323,"Asia"
"Afghanistan",2011,"Wood fuel","m3",1655317,2.5354854026897,1.85099408755323,"Asia"
"Afghanistan",2011,"Roundwood","m3",3415317,5.2313160555096,1.85099408755323,"Asia"
"Afghanistan",1992,"Roundwood","m3",2294676,3.51480562448304,1.85099408755323,"Asia"
"Afghanistan",2013,"Roundwood","m3",3485812,5.33929479520877,1.85099408755323,"Asia"
"Afghanistan",1999,"Wood fuel","m3",1209992,1.85337132003799,1.85099408755323,"Asia"
"Afghanistan",2017,"Wood fuel","m3",1856559,2.84373219373219,1.85099408755323,"Asia"
"Afghanistan",2014,"Wood fuel","m3",1758409,2.69339368317863,1.85099408755323,"Asia"
"Afghanistan",2015,"Wood fuel","m3",1791747,2.7444582299421,1.85099408755323,"Asia"
"Afghanistan",2001,"Wood fuel","m3",1314150,2.01291241613822,1.85099408755323,"Asia"
"Afghanistan",2001,"Roundwood","m3",3074150,4.70874306895812,1.85099408755323,"Asia"
"Afghanistan",2002,"Wood fuel","m3",1350626,2.06878350641791,1.85099408755323,"Asia"
"Afghanistan",1990,"Wood fuel","m3",691216,1.05875072756793,1.85099408755323,"Asia"
"Afghanistan",2010,"Roundwood","m3",3401290,5.20983059155102,1.85099408755323,"Asia"
"Afghanistan",2003,"Roundwood","m3",3148176,4.82213031890451,1.85099408755323,"Asia"
"Afghanistan",2003,"Wood fuel","m3",1388176,2.12629966608461,1.85099408755323,"Asia"
"Afghanistan",2004,"Roundwood","m3",3186832,4.88134056306099,1.85099408755323,"Asia"
"Afghanistan",1999,"Roundwood","m3",2969992,4.54920197285789,1.85099408755323,"Asia"
"Afghanistan",2012,"Wood fuel","m3",1693939,2.59464356829948,1.85099408755323,"Asia"
"Afghanistan",2005,"Wood fuel","m3",1466629,2.24646784915602,1.85099408755323,"Asia"
"Afghanistan",2000,"Wood fuel","m3",1278715,1.95863584842079,1.85099408755323,"Asia"
"Afghanistan",2015,"Roundwood","m3",3551747,5.440288882762,1.85099408755323,"Asia"
"Afghanistan",2007,"Wood fuel","m3",1530522,2.34433416046319,1.85099408755323,"Asia"
"Afghanistan",2007,"Roundwood","m3",3290522,5.04016481328309,1.85099408755323,"Asia"
"Afghanistan",2008,"Wood fuel","m3",1563634,2.39505253806329,1.85099408755323,"Asia"
"Afghanistan",2009,"Wood fuel","m3",1597549,2.44700088839874,1.85099408755323,"Asia"
"Afghanistan",2009,"Roundwood","m3",3357549,5.14283154121864,1.85099408755323,"Asia"
"Afghanistan",2017,"Roundwood","m3",3616559,5.53956284655209,1.85099408755323,"Asia"
"Afghanistan",2000,"Roundwood","m3",3038715,4.65446650124069,1.85099408755323,"Asia"
"Afghanistan",2006,"Wood fuel","m3",1498194,2.29481665288117,1.85099408755323,"Asia"
"Afghanistan",2012,"Roundwood","m3",3453939,5.29047422111938,1.85099408755323,"Asia"
"Afghanistan",2018,"Wood fuel","m3",1890051,2.89503262567779,1.85099408755323,"Asia"
"Afghanistan",2005,"Roundwood","m3",3226629,4.94229850197592,1.85099408755323,"Asia"
"Afghanistan",2020,"Wood fuel","m3",1924292,2.94748031737279,1.85099408755323,"Asia"
"Afghanistan",2006,"Roundwood","m3",3258194,4.99064730570107,1.85099408755323,"Asia"
"Afghanistan",2008,"Roundwood","m3",3323634,5.09088319088319,1.85099408755323,"Asia"
"Afghanistan",2019,"Roundwood","m3",3684292,5.64331097019269,1.85099408755323,"Asia"
"Afghanistan",2020,"Roundwood","m3",3684292,5.64331097019269,1.85099408755323,"Asia"
"Afghanistan",2004,"Wood fuel","m3",1426832,2.18550991024109,1.85099408755323,"Asia"
"Afghanistan",2018,"Roundwood","m3",3650051,5.59086327849769,1.85099408755323,"Asia"
"Afghanistan",2019,"Wood fuel","m3",1924292,2.94748031737279,1.85099408755323,"Asia"
"Albania",2009,"Pulp for paper","tonnes",0,0,28.4960948905109,"Europe"
"Albania",2009,"Wood pulp","tonnes",0,0,28.4960948905109,"Europe"
"Albania",2005,"Wood fuel","m3",221000,8.06569343065693,28.3096715328467,"Europe"
"Albania",2017,"Wood pulp","tonnes",0,0,28.7982664233577,"Europe"
"Albania",2017,"Wood fuel","m3",1100000,40.1459854014599,28.7982664233577,"Europe"
"Albania",2005,"Roundwood","m3",296200,10.8102189781022,28.3096715328467,"Europe"
"Albania",2009,"Roundwood","m3",430000,15.6934306569343,28.4960948905109,"Europe"
"Albania",2005,"Pulp for paper","tonnes",0,0,28.3096715328467,"Europe"
"Albania",2008,"Pulp for paper","tonnes",0,0,28.4494890510949,"Europe"
"Albania",2006,"Pulp for paper","tonnes",0,0,28.3562773722628,"Europe"
"Albania",2006,"Wood fuel","m3",221000,8.06569343065693,28.3562773722628,"Europe"
