"Area","Year.x","Value.x","Year.y","Value.y","Percent_Change"
"Afghanistan",1990,1208.44,2020,1208.44,0
"Albania",1990,788.8,2020,788.9,0.0126774847870211
"Algeria",1990,1667,2020,1949,16.9166166766647
"American Samoa",1990,18.07,2020,17.13,-5.20199225235197
"Andorra",1990,16,2020,16,0
"Angola",1990,79262.78,2020,66607.38,-15.9663842222037
"Anguilla",1990,5.5,2020,5.5,0
"Antigua and Barbuda",1990,10.11,2020,8.12,-19.6834817012859
"Argentina",1990,35204,2020,28573,-18.8359277354846
"Aruba",1990,0.42,2020,0.42,0
"Australia",1990,133882.2,2020,134005.1,0.0917971171671769
"Austria",1990,3775.67,2020,3899.15,3.27041293333369
"Bahamas",1990,509.86,2020,509.86,0
"Bahrain",1990,0.22,2020,0.7,218.181818181818
"Bangladesh",1990,1920.33,2020,1883.4,-1.92310696599021
"Barbados",1990,6.3,2020,6.3,0
"Belize",1990,1600.03,2020,1277.05,-20.1858715149091
"Benin",1990,4835.15,2020,3135.15,-35.1591987839054
"Bermuda",1990,1,2020,1,0
"Bhutan",1990,2506.72,2020,2725.08,8.71098487266229
"Bolivia (Plurinational State of)",1990,57804.72,2020,50833.76,-12.0594996394758
"Botswana",1990,18803.7,2020,15254.7,-18.8739450214585
"Brazil",1990,588898,2020,496619.6,-15.669674544658
"British Virgin Islands",1990,3.71,2020,3.62,-2.42587601078167
"Brunei Darussalam",1990,413,2020,380,-7.99031476997579
"Bulgaria",1990,3327,2020,3893,17.0123234144875
"Burkina Faso",1990,7716.6,2020,6216.4,-19.4412046756344
"Burundi",1990,276.48,2020,279.64,1.1429398148148
"C?te d'Ivoire",1990,7850.86,2020,2836.71,-63.8675253411728
"Cabo Verde",1990,15.38,2020,45.72,197.269180754226
"Cambodia",1990,11004.79,2020,8068.37,-26.6831079920653
"Cameroon",1990,22500,2020,20340.48,-9.59786666666667
"Canada",1990,348272.93,2020,346928.1,-0.386142557792251
"Cayman Islands",1990,13.13,2020,12.72,-3.12261995430312
"Central African Republic",1990,23203,2020,22303,-3.87880877472741
"Chad",1990,6730,2020,4313,-35.9138187221397
"Chile",1990,15246.05,2020,18210.7,19.445364537044
"China",1990,157140.59,2020,219978.18,39.9881341924451
"China, mainland",1990,157140.59,2020,219978.18,39.9881341924451
"Colombia",1990,64958.14,2020,59141.91,-8.95381240903757
"Comoros",1990,46.06,2020,32.92,-28.5280069474598
"Congo",1990,22315,2020,21946,-1.65359623571589
"Cook Islands",1990,14.91,2020,15.59,4.56069751844399
"Costa Rica",1990,2907.4,2020,3034.87,4.38432964160418
"Cuba",1990,2058,2020,3242,57.5315840621963
"Cyprus",1990,161.11,2020,172.53,7.08832474706721
"Democratic People's Republic of Korea",1990,6912.03,2020,6030.09,-12.7594932313662
"Democratic Republic of the Congo",1990,150629,2020,126155.24,-16.2477079446853
"Denmark",1990,531.44,2020,628.44,18.2522956495559
"Djibouti",1990,5.6,2020,5.8,3.57142857142857
"Dominica",1990,50.31,2020,47.87,-4.84993043132579
"Dominican Republic",1990,1594.89,2020,2144.1,34.4356037093467
"Ecuador",1990,14632.21,2020,12497.83,-14.5868600847035
"Egypt",1990,43.81,2020,44.98,2.67062314540058
"El Salvador",1990,718.88,2020,583.88,-18.7792121077231
"Equatorial Guinea",1990,2699.15,2020,2448.42,-9.28922068058463
"Eswatini",1990,461.14,2020,497.56,7.89781844992844
"Falkland Islands (Malvinas)",1990,0,2020,0,NA
"Faroe Islands",1990,0.08,2020,0.08,0
"Fiji",1990,939.69,2020,1140.02,21.3187327735743
"Finland",1990,21875.33,2020,22409,2.43959748264368
"France",1990,14436,2020,17253,19.5137157107232
"French Guyana",1990,8125,2020,8002.85,-1.50338461538461
"French Polynesia",1990,144.43,2020,149.46,3.48265595790348
"Gabon",1990,23761.62,2020,23530.6,-0.972240108208112
"Gambia",1990,414.66,2020,242.67,-41.4773549413978
"Germany",1990,11300,2020,11419,1.05309734513274
"Ghana",1990,9924.26,2020,7985.71,-19.5334463224462
"Gibraltar",1990,0,2020,0,NA
"Greece",1990,3298.551,2020,3901.8,18.2883029548429
"Greenland",1990,0.22,2020,0.22,0
"Grenada",1990,17.7,2020,17.7,0
"Guadeloupe",1990,73.17,2020,71.92,-1.7083504168375
"Guam",1990,24,2020,28,16.6666666666667
"Guatemala",1990,4781.2,2020,3527.8,-26.2151761064168
"Guinea",1990,7276,2020,6189,-14.9395272127543
"Guinea-Bissau",1990,2233.33,2020,1980.01,-11.3427034965724
"Guyana",1990,18602.15,2020,18415.34,-1.00423875734795
"Haiti",1990,382.92,2020,347.3,-9.30220411574219
"Holy See",1990,0,2020,0,NA
"Honduras",1990,6987.78,2020,6359.26,-8.99455907312479
"Hungary",1990,1813.9,2020,2053.01,13.1820938309719
"Iceland",1990,17.07,2020,51.35,200.820152314001
"India",1990,63938,2020,72160,12.8593324783384
"Indonesia",1990,118545,2020,92133.2,-22.2799780674006
"Iran (Islamic Republic of)",1990,9076.06,2020,10751.87,18.4640692106487
"Iraq",1990,804,2020,825,2.61194029850746
"Ireland",1990,461.64,2020,782.02,69.4003985789793
"Isle of Man",1990,3.46,2020,3.46,0
"Israel",1990,132,2020,140,6.06060606060606
"Italy",1990,7589.75,2020,9566.13,26.0401198985474
"Jamaica",1990,521.28,2020,596.89,14.5046807857581
"Japan",1990,24950,2020,24935,-0.0601202404809619
"Jersey",1990,0.6,2020,0.6,0
"Jordan",1990,97.5,2020,97.5,0
